gammas,type,setting,expectation,std_err,total_counts,raw_expectation,raw_std_err,calibration_expectation,calibration_std_err,calibration_counts
-1.5707963267948966,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.007498500299940013,0.013414416682937452,8000,0.00625,0.011180820342463305,0.8335,0.00617774144094457,8000
-1.5390630676677268,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.03269346130773845,0.013411771275318634,8000,-0.02725,0.011176886643286657,0.8335,0.00617774144094457,8000
-1.507329808540557,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.0656868626274745,0.013403288162483864,8000,-0.05475,0.011164268215969185,0.8335,0.00617774144094457,8000
-1.4755965494133876,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.16016796640671865,0.013347384752782278,8000,-0.1335,0.011080955157201002,0.8335,0.00617774144094457,8000
-1.4438632902862178,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.2408518296340732,0.013262170242147936,8000,-0.20075,0.01095342078374871,0.8335,0.00617774144094457,8000
-1.4121300311590483,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.28494301139772044,0.01320077587357882,8000,-0.2375,0.010861121684500671,0.8335,0.00617774144094457,8000
-1.3803967720318788,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.3266346730653869,0.013132919961911913,8000,-0.27225,0.010758692340154948,0.8335,0.00617774144094457,8000
-1.3486635129047089,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.3596280743851229,0.013072368135759016,8000,-0.29975,0.01066690981766192,0.8335,0.00617774144094457,8000
-1.3169302537775396,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.4322135572885423,0.01291738493770692,8000,-0.36025,0.010430296787430559,0.8335,0.00617774144094457,8000
-1.28519699465037,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.4916016796640672,0.012767691582893613,8000,-0.40975,0.01019931960733443,0.8335,0.00617774144094457,8000
-1.2534637355232003,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.5314937012597479,0.012655185464297123,8000,-0.443,0.01002404285602358,0.8335,0.00617774144094457,8000
-1.2217304763960306,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.6055788842231554,0.012419746437363129,8000,-0.50475,0.009652205723145112,0.8335,0.00617774144094457,8000
-1.1899972172688609,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.6436712657468506,0.012284753784235993,8000,-0.5365,0.009435682156697538,0.8335,0.00617774144094457,8000
-1.1582639581416914,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.6814637072585482,0.012141067750861446,8000,-0.568,0.009202314128694229,0.8335,0.00617774144094457,8000
-1.1265306990145216,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.7240551889622076,0.011967049494630434,8000,-0.6035,0.008915346553865526,0.8335,0.00617774144094457,8000
-1.094797439887352,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.7531493701259748,0.011840537978871309,8000,-0.62775,0.008703488440066909,0.8335,0.00617774144094457,8000
-1.0630641807601826,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.7735452909418117,0.011748027133387842,8000,-0.64475,0.008546713431273422,0.8335,0.00617774144094457,8000
-1.0313309216330129,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.815236952609478,0.011548769002296377,8000,-0.6795,0.008203254258070563,0.8335,0.00617774144094457,8000
-0.9995976625058433,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.8101379724055189,0.011573887740466648,8000,-0.67525,0.008247010448348352,0.8335,0.00617774144094457,8000
-0.9678644033786736,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.8836232753449309,0.011190717988497457,8000,-0.7365,0.007563274366297477,0.8335,0.00617774144094457,8000
-0.9361311442515041,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.8734253149370126,0.011246683850485436,8000,-0.728,0.007665464429381612,0.8335,0.00617774144094457,8000
-0.9043978851243344,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.9052189562087579,0.011069094879496848,8000,-0.7545,0.007338116225825124,0.8335,0.00617774144094457,8000
-0.8726646259971648,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.9409118176364728,0.01085849819273221,8000,-0.78425,0.006937219025912089,0.8335,0.00617774144094457,8000
-0.8409313668699951,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.8962207558488302,0.011120290026881674,8000,-0.747,0.007433423301060327,0.8335,0.00617774144094457,8000
-0.8091981077428254,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.9271145770845832,0.01094135350817525,8000,-0.77275,0.007096722843812505,0.8335,0.00617774144094457,8000
-0.7774648486156558,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.9481103779244152,0.010814527649827398,8000,-0.79025,0.006851568082245713,0.8335,0.00617774144094457,8000
-0.7457315894884862,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.9553089382123576,0.010770040413607705,8000,-0.79625,0.006764167460425495,0.8335,0.00617774144094457,8000
